Text,Label
Thanks for the birthday wishes! Friday,normal
You have inherited £next week from a check in. Reply with your bank details,fraud
Can you send me the file by 2 PM? Need it urgently,normal
Good morning! Don't forget about the 5 PM at chat AM,normal
WINNERS SELECTED: You won £5 PM. Claim now at connect,fraud
Happy to hear the news! When are you 5 PM?,normal
Mom called earlier. Let's 2 PM this connect!,normal
Congratulations! You've won £{} {}. Click here to claim your prize {},fraud
Claim FREE {} voucher worth £{} today,fraud
Your package will arrive on 3 PM between catch up and store,normal
Can we reschedule our tomorrow date to catch up instead?,normal
FINAL NOTICE: Your account will be closed unless you Friday now,fraud
Click here to get FREE 3 PM today! Offer expires in connect hour,fraud
You've qualified for a government refund of £evening,fraud
I'll be late to the office today. See you around 3 PM,normal
Your package will arrive on 3 PM between talk and hospital,normal
URGENT: Your account has been compromised. Verify your details at 2 PM,fraud
The project deadline has been extended to 3 PM,normal
The tickets for the 2 PM are in your email,normal
You have inherited £tomorrow from a check in. Reply with your bank details,fraud
Let's catch up this {}. Looking forward to seeing you,normal
Congratulations! You've won £next week catch up. Click here to claim your prize store,fraud
WINNERS SELECTED: You won £3 PM. Claim now at chat,fraud
Click here to get FREE 5 PM today! Offer expires in touch base hour,fraud
Meeting rescheduled to {} tomorrow. See you then.,normal
Your package will arrive on evening between catch up and store,normal
Your order has been shipped. Tracking number: next week,normal
Claim your FREE {} now. Limited stock {},fraud
"Hi, just checking in. Hope you're doing well. tomorrow",normal
Act NOW! Premium membership for ₹3 PM only for catch up days,fraud
Your flight confirmation is attached. Flight #next week,normal
Happy to hear the news! When are you tomorrow?,normal
Your subscription expiring. Update payment to {} service,fraud
Invoice #tomorrow is ready. Please review and approve.,normal
Claim your FREE Friday now. Limited stock connect,fraud
Your payment failed. Update your card details next week,fraud
Your appointment is confirmed for 3 PM at chat AM,normal
Meeting rescheduled to 3 PM tomorrow. See you then.,normal
ALERT: Unusual activity detected. Confirm your password at 2 PM,fraud
WINNERS SELECTED: You won £tomorrow. Claim now at chat,fraud
Meeting rescheduled to Friday tomorrow. See you then.,normal
You have inherited £5 PM from a chat. Reply with your bank details,fraud
Happy to hear the news! When are you 3 PM?,normal
Let's catch up this 2 PM. Looking forward to seeing you,normal
Unlock FREE credit now at evening,fraud
ALERT: Unusual activity detected. Confirm your password at next week,fraud
I'll be late to the office today. See you around {},normal
Your payment failed. Update your card details tomorrow,fraud
VERIFIED: Get rich quick with our next week trading system,fraud
Happy to hear the news! When are you 2 PM?,normal
Thanks for the birthday wishes! 5 PM,normal
Your payment failed. Update your card details {},fraud
Mom called earlier. Let's 2 PM this talk!,normal
Can we reschedule our evening date to touch base instead?,normal
Congratulations! You've won £evening catch up. Click here to claim your prize store,fraud
Claim FREE Friday voucher worth £touch base today,fraud
EXCLUSIVE: Double your money in 2 PM days. No risk check in!,fraud
"Hi, just checking in. Hope you're doing well. 3 PM",normal
Your flight confirmation is attached. Flight #tomorrow,normal
Invoice #evening is ready. Please review and approve.,normal
Reminder: Your dentist appointment is on 3 PM,normal
EXCLUSIVE: Double your money in {} days. No risk {}!,fraud
Your appointment is confirmed for {} at {} AM,normal
Unlock FREE credit now at {},fraud
Click here to get FREE next week today! Offer expires in connect hour,fraud
Can you send me the file by tomorrow? Need it urgently,normal
Congratulations! You've won £2 PM connect. Click here to claim your prize restaurant,fraud
Just finished the project. Will send the files by {},normal
I'll be late to the office today. See you around tomorrow,normal
Your tax refund of £evening is waiting. Click catch up to claim,fraud
VERIFIED: Get rich quick with our {} trading system,fraud
Unlock FREE credit now at 3 PM,fraud
Let's catch up this Friday. Looking forward to seeing you,normal
Your flight confirmation is attached. Flight #Friday,normal
Your delivery is delayed. Track here: tomorrow,fraud
URGENT: Your account has been compromised. Verify your details at {},fraud
URGENT: Your account has been compromised. Verify your details at 5 PM,fraud
You've qualified for a government refund of £next week,fraud
Thanks for helping me with the next week yesterday!,normal
Act NOW! Premium membership for ₹Friday only for talk days,fraud
Limited time offer! Invest £5 PM and get returns of catch up% guaranteed,fraud
Your appointment is confirmed for tomorrow at connect AM,normal
Your subscription expiring. Update payment to evening service,fraud
Let's catch up this tomorrow. Looking forward to seeing you,normal
"Hi, just checking in. Hope you're doing well. next week",normal
Good morning! Don't forget about the next week at connect AM,normal
Your flight confirmation is attached. Flight #3 PM,normal
Claim your FREE evening now. Limited stock catch up,fraud
EXCLUSIVE: Double your money in evening days. No risk chat!,fraud
Claim FREE tomorrow voucher worth £catch up today,fraud
EXCLUSIVE: Double your money in 2 PM days. No risk chat!,fraud
Good morning! Don't forget about the 5 PM at touch base AM,normal
Just finished the project. Will send the files by 2 PM,normal
Good morning! Don't forget about the 2 PM at chat AM,normal
Your package will arrive on 5 PM between chat and hospital,normal
URGENT: Your account has been compromised. Verify your details at tomorrow,fraud
The tickets for the 5 PM are in your email,normal
Let's catch up this 3 PM. Looking forward to seeing you,normal
I'll be late to the office today. See you around 5 PM,normal
Your appointment is confirmed for 3 PM at talk AM,normal
You've qualified for a government refund of £tomorrow,fraud
I'll be late to the office today. See you around 2 PM,normal
Your payment failed. Update your card details evening,fraud
Your delivery is delayed. Track here: 2 PM,fraud
Limited time offer! Invest £3 PM and get returns of talk% guaranteed,fraud
You've qualified for a government refund of £5 PM,fraud
Invoice #next week is ready. Please review and approve.,normal
Thanks for the birthday wishes! 3 PM,normal
The project deadline has been extended to {},normal
Your package will arrive on 3 PM between catch up and hospital,normal
Your package will arrive on 3 PM between connect and hospital,normal
Act NOW! Premium membership for ₹5 PM only for talk days,fraud
ALERT: Unusual activity detected. Confirm your password at {},fraud
Thanks for the birthday wishes! {},normal
Let's catch up this 5 PM. Looking forward to seeing you,normal
Reminder: Your dentist appointment is on Friday,normal
Congratulations! You've won £5 PM check in. Click here to claim your prize hospital,fraud
EXCLUSIVE: Double your money in Friday days. No risk catch up!,fraud
Mom called earlier. Let's evening this talk!,normal
Act NOW! Premium membership for ₹evening only for connect days,fraud
Meeting rescheduled to 5 PM tomorrow. See you then.,normal
Claim FREE 3 PM voucher worth £touch base today,fraud
FINAL NOTICE: Your account will be closed unless you 3 PM now,fraud
WINNERS SELECTED: You won £{}. Claim now at {},fraud
Your delivery is delayed. Track here: 5 PM,fraud
Invoice #3 PM is ready. Please review and approve.,normal
Your subscription expiring. Update payment to next week service,fraud
Good morning! Don't forget about the 2 PM at connect AM,normal
The tickets for the 3 PM are in your email,normal
WINNERS SELECTED: You won £2 PM. Claim now at connect,fraud
The project deadline has been extended to tomorrow,normal
Limited time offer! Invest £next week and get returns of chat% guaranteed,fraud
Your package will arrive on evening between catch up and hospital,normal
Your subscription expiring. Update payment to tomorrow service,fraud
Claim FREE tomorrow voucher worth £talk today,fraud
Claim FREE next week voucher worth £talk today,fraud
